Ensembl	Gene	"Gene description"
ENSG00000157601	MX1	"MX dynamin like GTPase 1"
ENSG00000183486	MX2	"MX dynamin like GTPase 2"
ENSG00000154328	NEIL2	"Nei like DNA glycosylase 2"
ENSG00000119408	NEK6	"NIMA related kinase 6"
ENSG00000151414	NEK7	"NIMA related kinase 7"
ENSG00000274810	NPHP3-ACAD11	"NPHP3-ACAD11 readthrough (NMD candidate)"
ENSG00000090273	NUDC	"Nuclear distribution C, dynein complex regulator"
ENSG00000124006	OBSL1	"Obscurin like cytoskeletal adaptor 1"
ENSG00000101349	PAK5	"P21 (RAC1) activated kinase 5"
ENSG00000144824	PHLDB2	"Pleckstrin homology like domain family B member 2"
ENSG00000178125	PPP1R42	"Protein phosphatase 1 regulatory subunit 42"
ENSG00000204179	PTPN20	"Protein tyrosine phosphatase non-receptor type 20"
ENSG00000011454	RABGAP1	"RAB GTPase activating protein 1"
ENSG00000010017	RANBP9	"RAN binding protein 9"
ENSG00000099849	RASSF7	"Ras association domain family member 7"
ENSG00000068615	REEP1	"Receptor accessory protein 1"
ENSG00000132563	REEP2	"Receptor accessory protein 2"
ENSG00000067560	RHOA	"Ras homolog family member A"
ENSG00000034677	RNF19A	"Ring finger protein 19A, RBR E3 ubiquitin protein ligase"
ENSG00000103494	RPGRIP1L	"RPGRIP1 like"
ENSG00000149273	RPS3	"Ribosomal protein S3"
ENSG00000160753	RUSC1	"RUN and SH3 domain containing 1"
ENSG00000004139	SARM1	"Sterile alpha and TIR motif containing 1"
ENSG00000156876	SASS6	"SAS-6 centriolar assembly protein"
ENSG00000054282	SDCCAG8	"SHH signaling and ciliogenesis regulator SDCCAG8"
ENSG00000180096	SEPTIN1	"Septin 1"
ENSG00000184640	SEPTIN9	"Septin 9"
ENSG00000145335	SNCA	"Synuclein alpha"
ENSG00000101298	SNPH	Syntaphilin
ENSG00000077327	SPAG6	"Sperm associated antigen 6"
ENSG00000137098	SPAG8	"Sperm associated antigen 8"
ENSG00000042317	SPATA7	"Spermatogenesis associated 7"
ENSG00000040275	SPDL1	"Spindle apparatus coiled-coil protein 1"
ENSG00000141380	SS18	"SS18 subunit of BAF chromatin remodeling complex"
ENSG00000167323	STIM1	"Stromal interaction molecule 1"
ENSG00000015592	STMN4	"Stathmin 4"
ENSG00000230873	STMND1	"Stathmin domain containing 1"
ENSG00000165209	STRBP	"Spermatid perinuclear RNA binding protein"
ENSG00000100242	SUN2	"Sad1 and UNC84 domain containing 2"
ENSG00000147526	TACC1	"Transforming acidic coiled-coil containing protein 1"
ENSG00000105254	TBCB	"Tubulin folding cofactor B"
ENSG00000284770	TBCE	"Tubulin folding cofactor E"
ENSG00000285053	TBCE	"Tubulin folding cofactor E"
ENSG00000120438	TCP1	"T-complex 1"
ENSG00000156299	TIAM1	"TIAM Rac1 associated GEF 1"
ENSG00000163462	TRIM46	"Tripartite motif containing 46"
ENSG00000146216	TTBK1	"Tau tubulin kinase 1"
ENSG00000100271	TTLL1	"Tubulin tyrosine ligase like 1"
ENSG00000213471	TTLL13P	"Tubulin tyrosine ligase like 13, pseudogene"
ENSG00000214021	TTLL3	"Tubulin tyrosine ligase like 3"
ENSG00000135912	TTLL4	"Tubulin tyrosine ligase like 4"
ENSG00000119685	TTLL5	"Tubulin tyrosine ligase like 5"
ENSG00000137941	TTLL7	"Tubulin tyrosine ligase like 7"
ENSG00000138892	TTLL8	"Tubulin tyrosine ligase like 8"
ENSG00000006715	VPS41	"VPS41 subunit of HOPS complex"
ENSG00000198211	AC092143.1	"Novel protein (MC1R-TUBB3 readthrough)"
ENSG00000134057	CCNB1	"Cyclin B1"
ENSG00000163322	ABRAXAS1	"Abraxas 1, BRCA1 A complex subunit"
ENSG00000089820	ARHGAP4	"Rho GTPase activating protein 4"
ENSG00000125124	BBS2	"Bardet-Biedl syndrome 2"
ENSG00000157456	CCNB2	"Cyclin B2"
ENSG00000117399	CDC20	"Cell division cycle 20"
ENSG00000106477	CEP41	"Centrosomal protein 41"
ENSG00000182923	CEP63	"Centrosomal protein 63"
ENSG00000112877	CEP72	"Centrosomal protein 72"
ENSG00000119333	DYNC2I2	"Dynein 2 intermediate chain 2"
ENSG00000213123	DYNLT2B	"Dynein light chain Tctex-type 2B"
ENSG00000197386	HTT	Huntingtin
ENSG00000187535	IFT140	"Intraflagellar transport 140"
ENSG00000002822	MAD1L1	"Mitotic arrest deficient 1 like 1"
ENSG00000131697	NPHP4	"Nephrocystin 4"
ENSG00000116786	PLEKHM2	"Pleckstrin homology and RUN domain containing M2"
ENSG00000163605	PPP4R2	"Protein phosphatase 4 regulatory subunit 2"
ENSG00000266094	RASSF5	"Ras association domain family member 5"
ENSG00000169402	RSPH10B2	"Radial spoke head 10 homolog B2"
ENSG00000129810	SGO1	"Shugoshin 1"
ENSG00000155761	SPAG17	"Sperm associated antigen 17"
ENSG00000061656	SPAG4	"Sperm associated antigen 4"
ENSG00000133104	SPART	Spartin
ENSG00000125409	TEKT3	"Tektin 3"
ENSG00000133112	TPT1	"Tumor protein, translationally-controlled 1"
ENSG00000147573	TRIM55	"Tripartite motif containing 55"
ENSG00000177082	WDR73	"WD repeat domain 73"
ENSG00000072571	HMMR	"Hyaluronan mediated motility receptor"
ENSG00000127837	AAMP	"Angio associated migratory cell protein"
ENSG00000047579	DTNBP1	"Dystrobrevin binding protein 1"
ENSG00000173153	ESRRA	"Estrogen related receptor alpha"
ENSG00000037965	HOXC8	"Homeobox C8"
ENSG00000063978	RNF4	"Ring finger protein 4"
ENSG00000182199	SHMT2	"Serine hydroxymethyltransferase 2"
ENSG00000084693	AGBL5	"ATP/GTP binding protein like 5"
ENSG00000142208	AKT1	"AKT serine/threonine kinase 1"
ENSG00000113966	ARL6	"ADP ribosylation factor like GTPase 6"
ENSG00000149798	CDC42EP2	"CDC42 effector protein 2"
ENSG00000179604	CDC42EP4	"CDC42 effector protein 4"
ENSG00000124215	CDH26	"Cadherin 26"
ENSG00000102225	CDK16	"Cyclin dependent kinase 16"
ENSG00000180871	CXCR2	"C-X-C motif chemokine receptor 2"
ENSG00000169738	DCXR	"Dicarbonyl and L-xylulose reductase"
ENSG00000086061	DNAJA1	"DnaJ heat shock protein family (Hsp40) member A1"
ENSG00000188342	GTF2F2	"General transcription factor IIF subunit 2"
ENSG00000242028	HYPK	"Huntingtin interacting protein K"
ENSG00000119650	IFT43	"Intraflagellar transport 43"
ENSG00000102271	KLHL4	"Kelch like family member 4"
ENSG00000160602	NEK8	"NIMA related kinase 8"
ENSG00000010322	NISCH	Nischarin
ENSG00000074590	NUAK1	"NUAK family kinase 1"
ENSG00000085465	OVGP1	"Oviductal glycoprotein 1"
ENSG00000131051	RBM39	"RNA binding motif protein 39"
ENSG00000181826	RELL1	"RELT like 1"
ENSG00000140623	SEPTIN12	"Septin 12"
ENSG00000086300	SNX10	"Sorting nexin 10"
ENSG00000197694	SPTAN1	"Spectrin alpha, non-erythrocytic 1"
ENSG00000213523	SRA1	"Steroid receptor RNA activator 1"
ENSG00000116857	TMEM9	"Transmembrane protein 9"
ENSG00000100154	TTC28	"Tetratricopeptide repeat domain 28"
ENSG00000186812	ZNF397	"Zinc finger protein 397"
ENSG00000170954	ZNF415	"Zinc finger protein 415"
ENSG00000099814	CEP170B	"Centrosomal protein 170B"
ENSG00000132854	KANK4	"KN motif and ankyrin repeat domains 4"
ENSG00000100982	PCIF1	"Phosphorylated CTD interacting factor 1"
ENSG00000196455	PIK3R4	"Phosphoinositide-3-kinase regulatory subunit 4"
ENSG00000143851	PTPN7	"Protein tyrosine phosphatase non-receptor type 7"
ENSG00000120008	WDR11	"WD repeat domain 11"
ENSG00000168826	ZBTB49	"Zinc finger and BTB domain containing 49"
ENSG00000137992	DBT	"Dihydrolipoamide branched chain transacylase E2"
ENSG00000024422	EHD2	"EH domain containing 2"
ENSG00000143498	TAF1A	"TATA-box binding protein associated factor, RNA polymerase I subunit A"
ENSG00000094914	AAAS	"Aladin WD repeat nucleoporin"
ENSG00000107331	ABCA2	"ATP binding cassette subfamily A member 2"
ENSG00000129968	ABHD17A	"Abhydrolase domain containing 17A, depalmitoylase"
ENSG00000107362	ABHD17B	"Abhydrolase domain containing 17B, depalmitoylase"
ENSG00000136379	ABHD17C	"Abhydrolase domain containing 17C, depalmitoylase"
ENSG00000277400	AC145212.1	
ENSG00000143199	ADCY10	"Adenylate cyclase 10"
ENSG00000129474	AJUBA	"Ajuba LIM protein"
ENSG00000023516	AKAP11	"A-kinase anchoring protein 11"
ENSG00000259132	AL132780.3	"Novel protein"
ENSG00000136872	ALDOB	"Aldolase, fructose-bisphosphate B"
ENSG00000196510	ANAPC7	"Anaphase promoting complex subunit 7"
ENSG00000144031	ANKRD53	"Ankyrin repeat domain 53"
ENSG00000146376	ARHGAP18	"Rho GTPase activating protein 18"
ENSG00000107863	ARHGAP21	"Rho GTPase activating protein 21"
ENSG00000102931	ARL2BP	"ADP ribosylation factor like GTPase 2 binding protein"
ENSG00000162704	ARPC5	"Actin related protein 2/3 complex subunit 5"
ENSG00000128272	ATF4	"Activating transcription factor 4"
ENSG00000169136	ATF5	"Activating transcription factor 5"
ENSG00000066427	ATXN3	"Ataxin 3"
ENSG00000127423	AUNIP	"Aurora kinase A and ninein interacting protein"
ENSG00000151929	BAG3	"BAG cochaperone 3"
ENSG00000175866	BAIAP2	"BAR/IMD domain containing adaptor protein 2"
ENSG00000174483	BBS1	"Bardet-Biedl syndrome 1"
ENSG00000163093	BBS5	"Bardet-Biedl syndrome 5"
ENSG00000138686	BBS7	"Bardet-Biedl syndrome 7"
ENSG00000122507	BBS9	"Bardet-Biedl syndrome 9"
ENSG00000142867	BCL10	"BCL10 immune signaling adaptor"
ENSG00000171552	BCL2L1	"BCL2 like 1"
ENSG00000102409	BEX4	"Brain expressed X-linked 4"
ENSG00000162069	BICDL2	"BICD family like cargo adaptor 2"
ENSG00000115760	BIRC6	"Baculoviral IAP repeat containing 6"
ENSG00000038219	BOD1L1	"Biorientation of chromosomes in cell division 1 like 1"
ENSG00000165714	BORCS5	"BLOC-1 related complex subunit 5"
ENSG00000139618	BRCA2	"BRCA2 DNA repair associated"
ENSG00000156970	BUB1B	"BUB1 mitotic checkpoint serine/threonine kinase B"
ENSG00000153790	C7orf31	"Chromosome 7 open reading frame 31"
ENSG00000183346	CABCOCO1	"Ciliary associated calcium binding coiled-coil 1"
ENSG00000178363	CALML3	"Calmodulin like 3"
ENSG00000129007	CALML4	"Calmodulin like 4"
ENSG00000178372	CALML5	"Calmodulin like 5"
ENSG00000169885	CALML6	"Calmodulin like 6"
ENSG00000058404	CAMK2B	"Calcium/calmodulin dependent protein kinase II beta"
ENSG00000132024	CC2D1A	"Coiled-coil and C2 domain containing 1A"
ENSG00000103021	CCDC113	"Coiled-coil domain containing 113"
ENSG00000161180	CCDC116	"Coiled-coil domain containing 116"
ENSG00000147144	CCDC120	"Coiled-coil domain containing 120"
ENSG00000007080	CCDC124	"Coiled-coil domain containing 124"
ENSG00000175455	CCDC14	"Coiled-coil domain containing 14"
ENSG00000163492	CCDC141	"Coiled-coil domain containing 141"
ENSG00000160050	CCDC28B	"Coiled-coil domain containing 28B"
ENSG00000165972	CCDC38	"Coiled-coil domain containing 38"
ENSG00000166510	CCDC68	"Coiled-coil domain containing 68"
ENSG00000198624	CCDC69	"Coiled-coil domain containing 69"
ENSG00000149201	CCDC81	"Coiled-coil domain containing 81"
ENSG00000175602	CCDC85B	"Coiled-coil domain containing 85B"
ENSG00000173013	CCDC96	"Coiled-coil domain containing 96"
ENSG00000133101	CCNA1	"Cyclin A1"
ENSG00000103540	CCP110	"Centriolar coiled-coil protein 110"
ENSG00000166226	CCT2	"Chaperonin containing TCP1 subunit 2"
ENSG00000163468	CCT3	"Chaperonin containing TCP1 subunit 3"
ENSG00000146731	CCT6A	"Chaperonin containing TCP1 subunit 6A"
ENSG00000135624	CCT7	"Chaperonin containing TCP1 subunit 7"
ENSG00000140326	CDAN1	"Codanin 1"
ENSG00000081377	CDC14B	"Cell division cycle 14B"
ENSG00000218305	CDC14C	"Cell division cycle 14C"
ENSG00000130177	CDC16	"Cell division cycle 16"
ENSG00000101224	CDC25B	"Cell division cycle 25B"
ENSG00000134690	CDCA8	"Cell division cycle associated 8"
ENSG00000179776	CDH5	"Cadherin 5"
ENSG00000123374	CDK2	"Cyclin dependent kinase 2"
ENSG00000105810	CDK6	"Cyclin dependent kinase 6"
ENSG00000008086	CDKL5	"Cyclin dependent kinase like 5"
ENSG00000111276	CDKN1B	"Cyclin dependent kinase inhibitor 1B"
ENSG00000186166	CENATAC	"Centrosomal AT-AC splicing factor"
ENSG00000117724	CENPF	"Centromere protein F"
ENSG00000166582	CENPV	"Centromere protein V"
ENSG00000116198	CEP104	"Centrosomal protein 104"
ENSG00000154240	CEP112	"Centrosomal protein 112"
ENSG00000100629	CEP128	"Centrosomal protein 128"
ENSG00000103995	CEP152	"Centrosomal protein 152"
ENSG00000110274	CEP164	"Centrosomal protein 164"
ENSG00000174007	CEP19	"Centrosomal protein 19"
ENSG00000101639	CEP192	"Centrosomal protein 192"
ENSG00000126001	CEP250	"Centrosomal protein 250"
ENSG00000198707	CEP290	"Centrosomal protein 290"
ENSG00000178404	CEP295NL	"CEP295 N-terminal like"
ENSG00000138180	CEP55	"Centrosomal protein 55"
ENSG00000011523	CEP68	"Centrosomal protein 68"
ENSG00000101624	CEP76	"Centrosomal protein 76"
ENSG00000148019	CEP78	"Centrosomal protein 78"
ENSG00000111860	CEP85L	"Centrosomal protein 85 like"
ENSG00000121289	CEP89	"Centrosomal protein 89"
ENSG00000258890	CEP95	"Centrosomal protein 95"
ENSG00000182504	CEP97	"Centrosomal protein 97"
ENSG00000163885	CFAP100	"Cilia and flagella associated protein 100"
ENSG00000160401	CFAP157	"Cilia and flagella associated protein 157"
ENSG00000070761	CFAP20	"Cilia and flagella associated protein 20"
ENSG00000272514	CFAP206	"Cilia and flagella associated protein 206"
ENSG00000206530	CFAP44	"Cilia and flagella associated protein 44"
ENSG00000186710	CFAP73	"Cilia and flagella associated protein 73"
ENSG00000118307	CFAP94	"Cilia and flagella associated protein 94"
ENSG00000170004	CHD3	"Chromodomain helicase DNA binding protein 3"
ENSG00000111642	CHD4	"Chromodomain helicase DNA binding protein 4"
ENSG00000149554	CHEK1	"Checkpoint kinase 1"
ENSG00000131165	CHMP1A	"Charged multivesicular body protein 1A"
ENSG00000138433	CIR1	"Corepressor interacting with RBPJ, CIR1"
ENSG00000112782	CLIC5	"Chloride intracellular channel 5"
ENSG00000165959	CLMN	Calmin
ENSG00000166250	CLMP	"CXADR like membrane protein"
ENSG00000188603	CLN3	"CLN3 lysosomal/endosomal transmembrane protein, battenin"
ENSG00000163646	CLRN1	"Clarin 1"
ENSG00000141367	CLTC	"Clathrin heavy chain"
ENSG00000117519	CNN3	"Calponin 3"
ENSG00000184144	CNTN2	"Contactin 2"
ENSG00000181789	COPG1	"COPI coat complex subunit gamma 1"
ENSG00000158623	COPG2	"COPI coat complex subunit gamma 2"
ENSG00000130038	CRACR2A	"Calcium release activated channel regulator 2A"
ENSG00000145708	CRHBP	"Corticotropin releasing hormone binding protein"
ENSG00000058453	CROCC	"Ciliary rootlet coiled-coil, rootletin"
ENSG00000113712	CSNK1A1	"Casein kinase 1 alpha 1"
ENSG00000060069	CTDP1	"CTD phosphatase subunit 1"
ENSG00000168036	CTNNB1	"Catenin beta 1"
ENSG00000112659	CUL9	"Cullin 9"
ENSG00000255974	CYP2A6	"Cytochrome P450 family 2 subfamily A member 6"
ENSG00000173402	DAG1	"Dystroglycan 1"
ENSG00000198876	DCAF12	"DDB1 and CUL4 associated factor 12"
ENSG00000118655	DCLRE1B	"DNA cross-link repair 1B"
ENSG00000132912	DCTN4	"Dynactin subunit 4"
ENSG00000013573	DDX11	"DEAD/H-box helicase 11"
ENSG00000215301	DDX3X	"DEAD-box helicase 3 X-linked"
ENSG00000135829	DHX9	"DExH-box helicase 9"
ENSG00000150764	DIXDC1	"DIX domain containing 1"
ENSG00000126787	DLGAP5	"DLG associated protein 5"
ENSG00000119661	DNAL1	"Dynein axonemal light chain 1"
ENSG00000116641	DOCK7	"Dedicator of cytokinesis 7"
ENSG00000142002	DPP9	"Dipeptidyl peptidase 9"
ENSG00000157851	DPYSL5	"Dihydropyrimidinase like 5"
ENSG00000143476	DTL	"Denticleless E3 ubiquitin protein ligase homolog"
ENSG00000184786	DYNLT2	"Dynein light chain Tctex-type 2"
ENSG00000143479	DYRK3	"Dual specificity tyrosine phosphorylation regulated kinase 3"
ENSG00000136813	ECPAS	"Ecm29 proteasome adaptor and scaffold"
ENSG00000123427	EEF1AKMT3	"EEF1A lysine methyltransferase 3"
ENSG00000096093	EFHC1	"EF-hand domain containing 1"
ENSG00000183690	EFHC2	"EF-hand domain containing 2"
ENSG00000184349	EFNA5	"Ephrin A5"
ENSG00000115504	EHBP1	"EH domain binding protein 1"
ENSG00000173442	EHBP1L1	"EH domain binding protein 1 like 1"
ENSG00000107581	EIF3A	"Eukaryotic translation initiation factor 3 subunit A"
ENSG00000102119	EMD	Emerin
ENSG00000165689	ENTR1	"Endosome associated trafficking regulator 1"
ENSG00000044524	EPHA3	"EPH receptor A3"
ENSG00000082805	ERC1	"ELKS/RAB6-interacting/CAST family member 1"
ENSG00000182150	ERCC6L2	"ERCC excision repair 6 like 2"
ENSG00000067208	EVI5	"Ecotropic viral integration site 5"
ENSG00000182473	EXOC7	"Exocyst complex component 7"
ENSG00000188107	EYS	"Eyes shut homolog"
ENSG00000168309	FAM107A	"Family with sequence similarity 107 member A"
ENSG00000125898	FAM110A	"Family with sequence similarity 110 member A"
ENSG00000169122	FAM110B	"Family with sequence similarity 110 member B"
ENSG00000183580	FBXL7	"F-box and leucine rich repeat protein 7"
ENSG00000112029	FBXO5	"F-box protein 5"
ENSG00000154803	FLCN	Folliculin
ENSG00000177731	FLII	"FLII actin remodeling protein"
ENSG00000137312	FLOT1	"Flotillin 1"
ENSG00000248905	FMN1	"Formin 1"
ENSG00000155816	FMN2	"Formin 2"
ENSG00000102081	FMR1	"FMRP translational regulator 1"
ENSG00000257365	FNTB	"Farnesyltransferase, CAAX box, beta"
ENSG00000160282	FTCD	"Formimidoyltransferase cyclodeaminase"
ENSG00000139112	GABARAPL1	"GABA type A receptor associated protein like 1"
ENSG00000034713	GABARAPL2	"GABA type A receptor associated protein like 2"
ENSG00000070610	GBA2	"Glucosylceramidase beta 2"
ENSG00000119125	GDA	"Guanine deaminase"
ENSG00000121742	GJB6	"Gap junction protein beta 6"
ENSG00000111087	GLI1	"GLI family zinc finger 1"
ENSG00000127955	GNAI1	"G protein subunit alpha i1"
ENSG00000114353	GNAI2	"G protein subunit alpha i2"
ENSG00000065135	GNAI3	"G protein subunit alpha i3"
ENSG00000155324	GRAMD2B	"GRAM domain containing 2B"
ENSG00000105723	GSK3A	"Glycogen synthase kinase 3 alpha"
ENSG00000188175	HEPACAM2	"HEPACAM family member 2"
ENSG00000167861	HID1	"HID1 domain containing"
ENSG00000120694	HSPH1	"Heat shock protein family H (Hsp110) member 1"
ENSG00000198331	HYLS1	"HYLS1 centriolar and ciliogenesis associated"
ENSG00000138002	IFT172	"Intraflagellar transport 172"
ENSG00000032742	IFT88	"Intraflagellar transport 88"
ENSG00000149503	INCENP	"Inner centromere protein"
ENSG00000128908	INO80	"INO80 complex ATPase subunit"
ENSG00000185133	INPP5J	"Inositol polyphosphate-5-phosphatase J"
ENSG00000119509	INVS	Inversin
ENSG00000145703	IQGAP2	"IQ motif containing GTPase activating protein 2"
ENSG00000182149	IST1	"IST1 factor associated with ESCRT-III"
ENSG00000143543	JTB	"Jumping translocation breakpoint"
ENSG00000108773	KAT2A	"Lysine acetyltransferase 2A"
ENSG00000114166	KAT2B	"Lysine acetyltransferase 2B"
ENSG00000134152	KATNBL1	"Katanin regulatory subunit B1 like 1"
ENSG00000069424	KCNAB2	"Potassium voltage-gated channel subfamily A regulatory beta subunit 2"
ENSG00000100578	KIAA0586	KIAA0586
ENSG00000198920	KIAA0753	KIAA0753
ENSG00000088970	KIZ	"Kizuna centrosomal protein"
ENSG00000162413	KLHL21	"Kelch like family member 21"
ENSG00000005483	KMT2E	"Lysine methyltransferase 2E (inactive)"
ENSG00000162456	KNCN	Kinocilin
ENSG00000137812	KNL1	"Kinetochore scaffold 1"
ENSG00000184445	KNTC1	"Kinetochore associated 1"
ENSG00000108424	KPNB1	"Karyopherin subunit beta 1"
ENSG00000111057	KRT18	"Keratin 18"
ENSG00000185896	LAMP1	"Lysosomal associated membrane protein 1"
ENSG00000131023	LATS1	"Large tumor suppressor kinase 1"
ENSG00000150457	LATS2	"Large tumor suppressor kinase 2"
ENSG00000135338	LCA5	"Lebercilin LCA5"
ENSG00000182541	LIMK2	"LIM domain kinase 2"
ENSG00000160789	LMNA	"Lamin A/C"
ENSG00000157193	LRP8	"LDL receptor related protein 8"
ENSG00000169683	LRRC45	"Leucine rich repeat containing 45"
ENSG00000137821	LRRC49	"Leucine rich repeat containing 49"
ENSG00000188906	LRRK2	"Leucine rich repeat kinase 2"
ENSG00000161036	LRWD1	"Leucine rich repeats and WD repeat domain containing 1"
ENSG00000143669	LYST	"Lysosomal trafficking regulator"
ENSG00000061337	LZTS1	"Leucine zipper tumor suppressor 1"
ENSG00000204178	MACO1	"Macoilin 1"
ENSG00000111837	MAK	"Male germ cell associated kinase"
ENSG00000169032	MAP2K1	"Mitogen-activated protein kinase kinase 1"
ENSG00000126934	MAP2K2	"Mitogen-activated protein kinase kinase 2"
ENSG00000071054	MAP4K4	"Mitogen-activated protein kinase kinase kinase kinase 4"
ENSG00000100030	MAPK1	"Mitogen-activated protein kinase 1"
ENSG00000156711	MAPK13	"Mitogen-activated protein kinase 13"
ENSG00000147316	MCPH1	"Microcephalin 1"
ENSG00000169057	MECP2	"Methyl-CpG binding protein 2"
ENSG00000105976	MET	"MET proto-oncogene, receptor tyrosine kinase"
ENSG00000116688	MFN2	"Mitofusin 2"
ENSG00000101752	MIB1	"Mindbomb E3 ubiquitin protein ligase 1"
ENSG00000099812	MISP	"Mitotic spindle positioning"
ENSG00000125863	MKKS	"McKusick-Kaufman syndrome"
ENSG00000011143	MKS1	"MKS transition zone complex subunit 1"
ENSG00000213190	MLLT11	"MLLT11 transcription factor 7 cofactor"
ENSG00000155229	MMS19	"MMS19 homolog, cytosolic iron-sulfur assembly component"
ENSG00000114978	MOB1A	"MOB kinase activator 1A"
ENSG00000168303	MPLKIP	"M-phase specific PLK1 interacting protein"
ENSG00000118242	MREG	Melanoregulin
ENSG00000182979	MTA1	"Metastasis associated 1"
ENSG00000141971	MVB12A	"Multivesicular body subunit 12A"
ENSG00000005810	MYCBP2	"MYC binding protein 2"
ENSG00000145555	MYO10	"Myosin X"
ENSG00000173272	MZT2A	"Mitotic spindle organizing protein 2A"
ENSG00000152082	MZT2B	"Mitotic spindle organizing protein 2B"
ENSG00000139350	NEDD1	"NEDD1 gamma-tubulin ring complex targeting factor"
ENSG00000277586	NEFL	"Neurofilament light"
ENSG00000104722	NEFM	"Neurofilament medium"
ENSG00000140398	NEIL1	"Nei like DNA glycosylase 1"
ENSG00000137601	NEK1	"NIMA related kinase 1"
ENSG00000145029	NICN1	"Nicolin 1"
ENSG00000143156	NME7	"NME/NM23 family member 7"
ENSG00000086288	NME8	"NME/NM23 family member 8"
ENSG00000181163	NPM1	"Nucleophosmin 1"
ENSG00000113580	NR3C1	"Nuclear receptor subfamily 3 group C member 1"
ENSG00000088833	NSFL1C	"NSFL1 cofactor"
ENSG00000103274	NUBP1	"Nucleotide binding protein 1"
ENSG00000095906	NUBP2	"Nucleotide binding protein 2"
ENSG00000213024	NUP62	"Nucleoporin 62"
ENSG00000197822	OCLN	Occludin
ENSG00000122417	ODF2L	"Outer dense fiber of sperm tails 2 like"
ENSG00000181781	ODF3L2	"Outer dense fiber of sperm tails 3 like 2"
ENSG00000114026	OGG1	"8-oxoguanine DNA glycosylase"
ENSG00000198836	OPA1	"OPA1 mitochondrial dynamin like GTPase"
ENSG00000149269	PAK1	"P21 (RAC1) activated kinase 1"
ENSG00000148498	PARD3	"Par-3 family cell polarity regulator"
ENSG00000116117	PARD3B	"Par-3 family cell polarity regulator beta"
ENSG00000102981	PARD6A	"Par-6 family cell polarity regulator alpha"
ENSG00000041880	PARP3	"Poly(ADP-ribose) polymerase family member 3"
ENSG00000102699	PARP4	"Poly(ADP-ribose) polymerase family member 4"
ENSG00000075891	PAX2	"Paired box 2"
ENSG00000163346	PBXIP1	"PBX homeobox interacting protein 1"
ENSG00000170248	PDCD6IP	"Programmed cell death 6 interacting protein"
ENSG00000113448	PDE4D	"Phosphodiesterase 4D"
ENSG00000162734	PEA15	"Proliferation and apoptosis adaptor protein 15"
ENSG00000112511	PHF1	"PHD finger protein 1"
ENSG00000019144	PHLDB1	"Pleckstrin homology like domain family B member 1"
ENSG00000083535	PIBF1	"Progesterone immunomodulatory binding factor 1"
ENSG00000165495	PKNOX2	"PBX/knotted 1 homeobox 2"
ENSG00000166689	PLEKHA7	"Pleckstrin homology domain containing A7"
ENSG00000164087	POC1A	"POC1 centriolar protein A"
ENSG00000139323	POC1B	"POC1 centriolar protein B"
ENSG00000152359	POC5	"POC5 centriolar protein"
ENSG00000104695	PPP2CB	"Protein phosphatase 2 catalytic subunit beta"
ENSG00000105568	PPP2R1A	"Protein phosphatase 2 scaffold subunit Aalpha"
ENSG00000092020	PPP2R3C	"Protein phosphatase 2 regulatory subunit B''gamma"
ENSG00000149923	PPP4C	"Protein phosphatase 4 catalytic subunit"
ENSG00000100796	PPP4R3A	"Protein phosphatase 4 regulatory subunit 3A"
ENSG00000275052	PPP4R3B	"Protein phosphatase 4 regulatory subunit 3B"
ENSG00000011485	PPP5C	"Protein phosphatase 5 catalytic subunit"
ENSG00000132356	PRKAA1	"Protein kinase AMP-activated catalytic subunit alpha 1"
ENSG00000162409	PRKAA2	"Protein kinase AMP-activated catalytic subunit alpha 2"
ENSG00000171867	PRNP	"Prion protein"
ENSG00000143363	PRUNE1	"Prune exopolyphosphatase 1"
ENSG00000159792	PSKH1	"Protein serine kinase H1"
ENSG00000169398	PTK2	"Protein tyrosine kinase 2"
ENSG00000089159	PXN	Paxillin
ENSG00000090565	RAB11FIP3	"RAB11 family interacting protein 3"
ENSG00000131242	RAB11FIP4	"RAB11 family interacting protein 4"
ENSG00000138069	RAB1A	"RAB1A, member RAS oncogene family"
ENSG00000105514	RAB3D	"RAB3D, member RAS oncogene family"
ENSG00000175582	RAB6A	"RAB6A, member RAS oncogene family"
ENSG00000222014	RAB6C	"RAB6C, member RAS oncogene family"
ENSG00000177548	RABEP2	"Rabaptin, RAB GTPase binding effector protein 2"
ENSG00000136238	RAC1	"Rac family small GTPase 1"
ENSG00000070950	RAD18	"RAD18 E3 ubiquitin protein ligase"
ENSG00000051180	RAD51	"RAD51 recombinase"
ENSG00000185379	RAD51D	"RAD51 paralog D"
ENSG00000157927	RADIL	"Rap associating with DIL domain"
ENSG00000101146	RAE1	"Ribonucleic acid export 1"
ENSG00000141084	RANBP10	"RAN binding protein 10"
ENSG00000108961	RANGRF	"RAN guanine nucleotide release factor"
ENSG00000172575	RASGRP1	"RAS guanyl releasing protein 1"
ENSG00000189431	RASSF10	"Ras association domain family member 10"
ENSG00000153179	RASSF3	"Ras association domain family member 3"
ENSG00000123094	RASSF8	"Ras association domain family member 8"
ENSG00000122257	RBBP6	"RB binding protein 6, ubiquitin ligase"
ENSG00000104856	RELB	"RELB proto-oncogene, NF-kB subunit"
ENSG00000102760	RGCC	"Regulator of cell cycle"
ENSG00000140983	RHOT2	"Ras homolog family member T2"
